canonical_player_id,player_name,current_team,opponent,game_id,roster_membership,expected_active_status,injury_flag,source_of_roster_identity,source_timestamp,duplicate_player_status,audit_status,reject_reason
66973,Justine Pissott,LV,CHI,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
67023,Aicha Coulibaly,CHI,LV,24969,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
67027,Gabriela Jaquez,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
67033,Sydney Taylor,CHI,LV,24969,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
67044,Aubrey Griffin,NY,PHX,24970,NO,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,REJECTED,player_id_not_in_players_table
67054,Saylor Poffenbarger,CHI,LV,24969,NO,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,REJECTED,player_id_not_in_players_table
67061,Janiah Barker,LV,CHI,24969,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
67092,Noemie Brochant,PHX,NY,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
67094,Shay Ciezki,PHX,NY,24970,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
67135,Ta'Niya Latson,LV,CHI,24969,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
67157,Marta Suarez,PHX,NY,24970,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
74551,Marine Fauthoux,NY,PHX,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
74553,Alex Fowler,NY,PHX,24970,NO,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,REJECTED,player_id_not_in_players_table
74872,Quionche Carter,PHX,NY,24970,NO,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,REJECTED,player_id_not_in_players_table
74884,Jovana Nogic,PHX,NY,24970,YES,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
75095,Peyton Williams,PHX,NY,24970,NO,low,False,slate_from_features_latest_row,2026-08-01,UNIQUE,REJECTED,player_id_not_in_players_table
188326,Mai Yamamoto,LV,CHI,24969,YES,moderate,False,slate_from_features_latest_row,2026-08-01,UNIQUE,ACCEPTED,
